as_of,geo_value,signal,source,time_type,time_value,issue,value,target_end_date
2025-01-08,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-01-05,9.0,2024-11-16
2025-01-08,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-01-05,5.0,2024-11-23
2025-01-08,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-01-05,9.0,2024-11-30
2025-01-08,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-01-05,17.0,2024-12-07
2025-01-08,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-01-05,25.0,2024-12-14
2025-01-08,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-01-05,18.0,2024-12-21
2025-01-08,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-01-05,17.0,2024-12-28
2025-01-08,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-01-05,58.0,2025-01-04
2025-01-15,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-01-12,1.0,2024-10-19
2025-01-15,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-01-12,3.0,2024-10-26
2025-01-15,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-01-12,8.0,2024-11-02
2025-01-15,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-01-12,5.0,2024-11-09
2025-01-15,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-01-12,9.0,2024-11-16
2025-01-15,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-01-12,5.0,2024-11-23
2025-01-15,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-01-12,9.0,2024-11-30
2025-01-15,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-01-12,17.0,2024-12-07
2025-01-15,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-01-12,25.0,2024-12-14
2025-01-15,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-01-12,18.0,2024-12-21
2025-01-15,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-01-12,19.0,2024-12-28
2025-01-15,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-01-12,62.0,2025-01-04
2025-01-15,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-01-12,36.0,2025-01-11
2025-01-22,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-01-19,1.0,2024-10-19
2025-01-22,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-01-19,3.0,2024-10-26
2025-01-22,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-01-19,8.0,2024-11-02
2025-01-22,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-01-19,5.0,2024-11-09
2025-01-22,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-01-19,9.0,2024-11-16
2025-01-22,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-01-19,5.0,2024-11-23
2025-01-22,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-01-19,9.0,2024-11-30
2025-01-22,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-01-19,17.0,2024-12-07
2025-01-22,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-01-19,25.0,2024-12-14
2025-01-22,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-01-19,18.0,2024-12-21
2025-01-22,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-01-19,19.0,2024-12-28
2025-01-22,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-01-19,62.0,2025-01-04
2025-01-22,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-01-19,36.0,2025-01-11
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-01-26,1.0,2024-10-19
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-01-26,3.0,2024-10-26
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-01-26,8.0,2024-11-02
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-01-26,5.0,2024-11-09
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-01-26,9.0,2024-11-16
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-01-26,5.0,2024-11-23
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-01-26,9.0,2024-11-30
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-01-26,17.0,2024-12-07
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-01-26,25.0,2024-12-14
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-01-26,18.0,2024-12-21
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-01-26,19.0,2024-12-28
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-01-26,62.0,2025-01-04
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-01-26,39.0,2025-01-11
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-12,2025-01-26,32.0,2025-01-18
2025-01-29,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-19,2025-01-26,24.0,2025-01-25
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-02-02,1.0,2024-10-19
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-02-02,3.0,2024-10-26
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-02-02,8.0,2024-11-02
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-02-02,5.0,2024-11-09
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-02-02,9.0,2024-11-16
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-02-02,5.0,2024-11-23
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-02-02,9.0,2024-11-30
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-02-02,17.0,2024-12-07
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-02-02,25.0,2024-12-14
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-02-02,18.0,2024-12-21
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-02-02,19.0,2024-12-28
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-02-02,62.0,2025-01-04
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-02-02,39.0,2025-01-11
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-12,2025-02-02,32.0,2025-01-18
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-19,2025-02-02,25.0,2025-01-25
2025-02-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-26,2025-02-02,26.0,2025-02-01
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-02-09,1.0,2024-10-19
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-02-09,3.0,2024-10-26
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-02-09,8.0,2024-11-02
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-02-09,5.0,2024-11-09
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-02-09,9.0,2024-11-16
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-02-09,5.0,2024-11-23
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-02-09,9.0,2024-11-30
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-02-09,17.0,2024-12-07
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-02-09,25.0,2024-12-14
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-02-09,18.0,2024-12-21
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-02-09,19.0,2024-12-28
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-02-09,62.0,2025-01-04
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-02-09,39.0,2025-01-11
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-12,2025-02-09,32.0,2025-01-18
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-19,2025-02-09,25.0,2025-01-25
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-26,2025-02-09,28.0,2025-02-01
2025-02-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-02,2025-02-09,26.0,2025-02-08
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-02-16,1.0,2024-10-19
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-02-16,3.0,2024-10-26
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-02-16,8.0,2024-11-02
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-02-16,5.0,2024-11-09
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-02-16,9.0,2024-11-16
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-02-16,5.0,2024-11-23
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-02-16,9.0,2024-11-30
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-02-16,17.0,2024-12-07
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-02-16,25.0,2024-12-14
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-02-16,18.0,2024-12-21
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-02-16,19.0,2024-12-28
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-02-16,62.0,2025-01-04
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-02-16,39.0,2025-01-11
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-12,2025-02-16,32.0,2025-01-18
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-19,2025-02-16,25.0,2025-01-25
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-26,2025-02-16,28.0,2025-02-01
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-02,2025-02-16,26.0,2025-02-08
2025-02-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-09,2025-02-16,38.0,2025-02-15
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-02-23,1.0,2024-10-19
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-02-23,3.0,2024-10-26
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-02-23,8.0,2024-11-02
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-02-23,5.0,2024-11-09
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-02-23,9.0,2024-11-16
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-02-23,5.0,2024-11-23
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-02-23,9.0,2024-11-30
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-02-23,17.0,2024-12-07
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-02-23,25.0,2024-12-14
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-02-23,18.0,2024-12-21
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-02-23,19.0,2024-12-28
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-02-23,62.0,2025-01-04
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-02-23,39.0,2025-01-11
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-12,2025-02-23,32.0,2025-01-18
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-19,2025-02-23,25.0,2025-01-25
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-26,2025-02-23,28.0,2025-02-01
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-02,2025-02-23,26.0,2025-02-08
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-09,2025-02-23,48.0,2025-02-15
2025-02-26,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-16,2025-02-23,46.0,2025-02-22
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-03-02,1.0,2024-10-19
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-03-02,3.0,2024-10-26
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-03-02,8.0,2024-11-02
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-03-02,5.0,2024-11-09
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-03-02,9.0,2024-11-16
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-03-02,5.0,2024-11-23
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-03-02,9.0,2024-11-30
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-03-02,17.0,2024-12-07
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-03-02,25.0,2024-12-14
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-03-02,18.0,2024-12-21
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-03-02,19.0,2024-12-28
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-03-02,62.0,2025-01-04
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-03-02,39.0,2025-01-11
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-12,2025-03-02,32.0,2025-01-18
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-19,2025-03-02,25.0,2025-01-25
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-26,2025-03-02,28.0,2025-02-01
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-02,2025-03-02,26.0,2025-02-08
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-09,2025-03-02,49.0,2025-02-15
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-16,2025-03-02,47.0,2025-02-22
2025-03-05,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-23,2025-03-02,45.0,2025-03-01
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-03-09,1.0,2024-10-19
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-03-09,3.0,2024-10-26
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-03-09,8.0,2024-11-02
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-03-09,5.0,2024-11-09
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-03-09,9.0,2024-11-16
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-03-09,5.0,2024-11-23
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-03-09,9.0,2024-11-30
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-03-09,17.0,2024-12-07
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-08,2025-03-09,25.0,2024-12-14
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-15,2025-03-09,18.0,2024-12-21
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-22,2025-03-09,19.0,2024-12-28
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-29,2025-03-09,62.0,2025-01-04
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-05,2025-03-09,39.0,2025-01-11
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-12,2025-03-09,32.0,2025-01-18
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-19,2025-03-09,25.0,2025-01-25
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-01-26,2025-03-09,28.0,2025-02-01
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-02,2025-03-09,26.0,2025-02-08
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-09,2025-03-09,49.0,2025-02-15
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-16,2025-03-09,47.0,2025-02-22
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-02-23,2025-03-09,55.0,2025-03-01
2025-03-12,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2025-03-02,2025-03-09,51.0,2025-03-08
2025-03-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-13,2025-03-16,1.0,2024-10-19
2025-03-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-20,2025-03-16,3.0,2024-10-26
2025-03-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-10-27,2025-03-16,8.0,2024-11-02
2025-03-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-03,2025-03-16,5.0,2024-11-09
2025-03-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-10,2025-03-16,9.0,2024-11-16
2025-03-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-17,2025-03-16,5.0,2024-11-23
2025-03-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-11-24,2025-03-16,9.0,2024-11-30
2025-03-19,ak,confirmed_admissions_flu_ew_prelim,nhsn,week,2024-12-01,2025-03-16,17.0,2024-12-07
